Year,Delegates Level,,,,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,Groups of Specialists,,,,,,,,,,,,,,,,,,,,Standing Scientific Groups,,,Standing Committees,,,,,Scientific Research Programs,,,,,,,,,,,,,
Year,Meeting location,President,VP1,VP2,VP3,VP4,Secretaries,Cartography,Exchange Info,Met & Physical Ocean,Program,Biology,Upper At Phys,Meteorol,Geology,Crustal Geophys,Oceanography,Comms,Nat Reports,Logistics,Geodesy & Cartog,Geomagnetism,Glaciology,Solid-Earth Geop,Human Biol Med,Geodesy & Geograp Info,Atmospheric Sci,Phys Chem Atmos,Solar-Terrestrial,Geoscience,Seals,Ice Shelf Drill,Late Cenoz,SO Ecosyst,EAMREA,AEIMEE,Ant Clim Res,Sea ice,Biomass exec,SO Ecology,Lithosphere,Cenozoic paleo,Env Affairs Conserv,GC and Antarctc,Neotect,Subglacial,Ant data,ADM,Reorg,JCADM,Geosciences,Life Sciences,Physical Sciences,Finance,Antarctic Treaty,Geographic Info,Data Managament,HASS,ACE,AGCS,EBA,ICESTAR,SALE,PAIS,SERCE,AAA,AntClim21,AntEco,Ant-ERA,AntClimNow,INSTANT,Ant_ICON
2012,United States,USA & Spain,Argentina,S Korea,Netherlands & Germany,India & New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Canada & Australia,Japan & USA,Netherlands & New Zealand,South Africa,UK & Belgium,Australia & Netherlands & Belgium,,USA & Spain,UK,Italy & UK,,,USA & Spain,USA,Australia,New Zealand,Australia,Germany,,,
2013,,Spain,Argentina,S Korea,Germany,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Australia,USA,New Zealand,South Africa,UK & Belgium,Netherlands & Belgium,,,,,,,USA & Spain,USA,Australia,New Zealand,Australia,Germany,,,
2014,New Zealand,Spain,Argentina & USA,S Korea & Malaysia,Germany,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Australia,USA,New Zealand,South Africa & Australia,UK & Belgium,Netherlands & Belgium,,,,,,,USA & Spain,USA,Australia,New Zealand,Australia,Germany,,,
2015,,Spain,USA,Malaysia,Germany,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Australia,USA,New Zealand,Australia,UK & Belgium,Netherlands & Belgium,,,,,,,USA & Spain,USA,Australia,New Zealand,Australia & UK,Germany,,,
2016,Malaysia,Spain & Australia,USA,Malaysia,Germany,New Zealand & Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA & Spain,Australia & France,USA,New Zealand & Brazil,Australia,UK & Belgium,Belgium,,,,,,,USA & Spain & Italy & NZ,USA & UK & Australia,Australia,New Zealand & UK,Australia & UK,Germany,,,
2017,,Australia,USA,Malaysia,Germany,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,France,USA,Brazil,Australia,UK & Belgium,Belgium,,,,,,,Italy & NZ,UK & Australia,Australia,UK,Australia & UK,Germany,,,
2018,Switzerland,Australia,USA & France,Malaysia & India,Germany & New Zealand,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,France,USA,Brazil,Australia,UK & Belgium,Belgium,Australia & New Zealand,,,,,,Italy & NZ,UK & Australia,Australia,UK,Australia & UK,Germany,,,
2019,,Australia,France,India,New Zealand,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,France,USA,Brazil,Australia,UK & Belgium,Belgium,Australia & New Zealand,,,,,,Italy & NZ,UK & Australia,Australia,UK,Australia & UK,Germany,,,
2020,Australia,Australia,France,India,New Zealand,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,France,USA,Brazil,Australia & UK,UK & Belgium,Belgium,Australia & New Zealand,,,,,,Italy & NZ,UK & Australia,Australia,UK,Australia & UK,Germany,,,
2021,,Australia & S Korea,USA,India,New Zealand,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,France,USA,Brazil,UK,USA & China,Belgium & Australia,Australia & New Zealand,,,,,,Italy & NZ,UK & Australia,Australia,UK,Australia & UK,Germany,UK & Brazil,Italy & New Zealand,Australia & Argentina
2022,India,S Korea,USA,Turkiye,Chile,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France & New Zealand,USA & Japan,Brazil,UK,USA & China & UK,Australia,Norway & Australia,,,,,,,,,,,,UK & Brazil,Italy & New Zealand,Australia & Argentina
2023,,S Korea,USA,Turkiye,Chile,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Japan,Brazil,UK,China & UK,Australia,Norway & Australia,,,,,,,,,,,,UK & Brazil,Italy & New Zealand,Argentina & New Zealand
2024,Chile,S Korea & New Zealand,USA & Spain,Turkiye,Chile,Brazil & Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Zealand,Japan,Brazil,UK & USA,China & UK,Australia,Norway & Australia,,,,,,,,,,,,UK & Brazil,Italy & New Zealand,Argentina & New Zealand
